baker_first_name,baker_last_name,series,episode,baker_age,baker_occupation,hometown,technical,result,signature_bake,show_stopper
Ali,Imdad,4,1,25,Charity worker,"Saltley, Birmingham",11,Stayed in,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
Ali,Imdad,4,2,25,Charity worker,"Saltley, Birmingham",9,Stayed in,Italian Grissini,Sweet and Savoury Yin Yang Bread
Ali,Imdad,4,3,25,Charity worker,"Saltley, Birmingham",5,Stayed in,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
Ali,Imdad,4,4,25,Charity worker,"Saltley, Birmingham",8,Eliminated,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
Alice,Fevronia,10,1,28,Geography teacher,Essex,5,Stayed in,NA,NA
Alice,Fevronia,10,2,28,Geography teacher,Essex,1,Star Baker,NA,NA
Alice,Fevronia,10,3,28,Geography teacher,Essex,7,Stayed in,NA,NA
Alice,Fevronia,10,4,28,Geography teacher,Essex,8,Stayed in,NA,NA
Alice,Fevronia,10,5,28,Geography teacher,Essex,6,Stayed in,NA,NA
Alice,Fevronia,10,6,28,Geography teacher,Essex,1,Stayed in,NA,NA
Alice,Fevronia,10,7,28,Geography teacher,Essex,6,Stayed in,NA,NA
Alice,Fevronia,10,8,28,Geography teacher,Essex,3,Stayed in,NA,NA
Alice,Fevronia,10,9,28,Geography teacher,Essex,4,Star Baker,NA,NA
Alice,Fevronia,10,10,28,Geography teacher,Essex,2,Series Runner-up,NA,NA
Alvin,Magallanes,6,1,37,Nurse,"Bracknell, Berkshire",2,Stayed in,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
Alvin,Magallanes,6,2,37,Nurse,"Bracknell, Berkshire",6,Stayed in,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
Alvin,Magallanes,6,3,37,Nurse,"Bracknell, Berkshire",4,Stayed in,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
Alvin,Magallanes,6,4,37,Nurse,"Bracknell, Berkshire",9,Stayed in,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
Alvin,Magallanes,6,5,37,Nurse,"Bracknell, Berkshire",8,Stayed in,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
Alvin,Magallanes,6,6,37,Nurse,"Bracknell, Berkshire",6,Eliminated,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
Amelia,LeBruin,10,1,24,Fashion designer,Halifax,4,Stayed in,NA,NA
Amelia,LeBruin,10,2,24,Fashion designer,Halifax,9,Stayed in,NA,NA
Amelia,LeBruin,10,3,24,Fashion designer,Halifax,11,Eliminated,NA,NA
Andrew,Smyth,7,1,25,Aerospace engineer,"Derby / Holywood, County Down",12,Stayed in,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
Andrew,Smyth,7,2,25,Aerospace engineer,"Derby / Holywood, County Down",4,Stayed in,Beehive Biscuits,Punting in Cambridge
Andrew,Smyth,7,3,25,Aerospace engineer,"Derby / Holywood, County Down",2,Stayed in,Chocolate Barmbrack Bread,Braided Harvest Bread Basket
Andrew,Smyth,7,4,25,Aerospace engineer,"Derby / Holywood, County Down",4,Stayed in,Yorkshire 'Tapas' Puddings,Churros Window Box
Andrew,Smyth,7,5,25,Aerospace engineer,"Derby / Holywood, County Down",6,Stayed in,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
Andrew,Smyth,7,6,25,Aerospace engineer,"Derby / Holywood, County Down",6,Stayed in,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
Andrew,Smyth,7,7,25,Aerospace engineer,"Derby / Holywood, County Down",1,Star Baker,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
Andrew,Smyth,7,8,25,Aerospace engineer,"Derby / Holywood, County Down",2,Stayed in,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
Andrew,Smyth,7,9,25,Aerospace engineer,"Derby / Holywood, County Down",2,Star Baker,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
Andrew,Smyth,7,10,25,Aerospace engineer,"Derby / Holywood, County Down",1,Series Runner-up,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
Annetha,Mills,1,1,30,Midwife,Essex,2,Stayed in,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
Annetha,Mills,1,2,30,Midwife,Essex,7,Eliminated,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
Antony,Amourdoux,9,1,30,Banker,London,12,Stayed in,NA,NA
Antony,Amourdoux,9,2,30,Banker,London,9,Stayed in,NA,NA
Antony,Amourdoux,9,3,30,Banker,London,8,Eliminated,NA,NA
Beca,Lyne-Pirkis,4,1,31,Military Wives' Choir Singer,"Aldershot, Hampshire",8,Stayed in,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
Beca,Lyne-Pirkis,4,2,31,Military Wives' Choir Singer,"Aldershot, Hampshire",11,Stayed in,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
Beca,Lyne-Pirkis,4,3,31,Military Wives' Choir Singer,"Aldershot, Hampshire",10,Stayed in,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
Beca,Lyne-Pirkis,4,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",2,Stayed in,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
Beca,Lyne-Pirkis,4,5,31,Military Wives' Choir Singer,"Aldershot, Hampshire",5,Stayed in,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
Beca,Lyne-Pirkis,4,6,31,Military Wives' Choir Singer,"Aldershot, Hampshire",6,Stayed in,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
Beca,Lyne-Pirkis,4,7,31,Military Wives' Choir Singer,"Aldershot, Hampshire",1,Stayed in,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
Beca,Lyne-Pirkis,4,8,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,Stayed in,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
Beca,Lyne-Pirkis,4,9,31,Military Wives' Choir Singer,"Aldershot, Hampshire",3,Eliminated,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
Ben,Frazer,2,1,31,Graphic Designer,Northampton,2,Stayed in,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
Ben,Frazer,2,2,31,Graphic Designer,Northampton,1,Stayed in,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
Ben,Frazer,2,3,31,Graphic Designer,Northampton,3,Stayed in,"Walnut, Raisin and Rosemary Loaf",UNKNOWN
Ben,Frazer,2,4,31,Graphic Designer,Northampton,5,Eliminated,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
Benjamina,Ebuehi,7,1,23,Teaching assistant,South London,6,Stayed in,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
Benjamina,Ebuehi,7,2,23,Teaching assistant,South London,3,Stayed in,Bouquet Biscuits,"New York, New York"
Benjamina,Ebuehi,7,3,23,Teaching assistant,South London,6,Stayed in,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
Benjamina,Ebuehi,7,4,23,Teaching assistant,South London,1,Star Baker,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
Benjamina,Ebuehi,7,5,23,Teaching assistant,South London,5,Stayed in,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
Benjamina,Ebuehi,7,6,23,Teaching assistant,South London,2,Stayed in,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
Benjamina,Ebuehi,7,7,23,Teaching assistant,South London,3,Stayed in,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
Benjamina,Ebuehi,7,8,23,Teaching assistant,South London,4,Eliminated,Mexican Adventure,Tudor Garden
Brendan,Lynch,3,1,63,Recruitment consultant,Sutton Coldfield,10,Stayed in,"Plum, Sour Cherry & Walnut",UNKNOWN
Brendan,Lynch,3,2,63,Recruitment consultant,Sutton Coldfield,4,Stayed in,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
Brendan,Lynch,3,3,63,Recruitment consultant,Sutton Coldfield,9,Stayed in,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart"
Brendan,Lynch,3,4,63,Recruitment consultant,Sutton Coldfield,1,Star Baker,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
